1, I REGIÓN DE TARAPACÁ
2, II REGIÓN DE ANTOFAGASTA
3, III REGIÓN DE ATACAMA
4, IV REGIÓN DE COQUIMBO
5, V REGIÓN DE VALPARAÍSO
6, VI REGIÓN DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS
7, VII REGIÓN DEL MAULE
8, VIII REGIÓN DEL BIOBÍO
9, IX REGIÓN DE LA ARAUCANÍA
10, X REGIÓN DE LOS LAGOS
11, XI REGIÓN DE AISÉN DEL GRAL. CARLOS IBAÑEZ DEL CAMPO
12, XII REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA
13, XIII REGIÓN METROPOLITANA DE SANTIAGO
14, XIV REGIÓN DE LOS RÍOS
15, XV REGIÓN DE ARICA Y PARINACOTA